ユーザーID,氏名,都道府県,購入金額,メールアドレス
U001,岡田梅子,東京都,4000,okada1@mail.com
U002,菊地智子,東京都,4000,kikuchi2@example.com
U003,山口次郎,大阪府,15000,yamaguchi3@example.com
U004,田中さくら,東京都,12000,tanaka4@demo.co.jp
U005,伊藤由佳,愛知県,12000,ito5@test.jp
U006,清水浩,千葉県,15000,shimizu6@sample.ne.jp
U007,小林太郎,千葉県,3000,kobayashi7@mail.com
U008,山口由美,兵庫県,7000,yamaguchi8@sample.ne.jp
U009,後藤智子,埼玉県,25000,goto9@test.jp
U010,高橋義之,神奈川県,20000,takahashi10@test.jp
U011,山本幸恵,大阪府,20000,yamamoto11@demo.co.jp
U012,木村健二,広島県,7000,kimura12@demo.co.jp
U013,井上修,静岡県,18000,inoue13@mail.com
U014,田中奈々,東京都,20000,tanaka14@demo.co.jp
U015,鈴木誠,埼玉県,20000,suzuki15@example.com
U016,伊藤恵,大阪府,15000,ito16@example.com
U017,清水奈々,神奈川県,20000,shimizu17@example.com
U018,菊地麻衣,埼玉県,2000,kikuchi18@mail.com
U019,井上一郎,福岡県,30000,inoue19@test.jp
U020,伊藤賢一,兵庫県,25000,ito20@example.com
U021,藤田健二,福岡県,10000,fujita21@sample.ne.jp
U022,橋本里奈,大阪府,8000,hashimoto22@mail.com
U023,坂本賢一,愛知県,20000,sakamoto23@test.jp
U024,橋本浩,東京都,30000,hashimoto24@example.com
U025,木村さくら,愛知県,15000,kimura25@mail.com
U026,加藤浩,愛知県,2000,kato26@mail.com
U027,長谷川拓也,埼玉県,5000,hasegawa27@test.jp
U028,山田恵,兵庫県,8500,yamada28@mail.com
U029,伊藤健太,福岡県,8000,ito29@example.com
U030,近藤恵,東京都,8000,kondo30@sample.ne.jp
U031,藤田次郎,兵庫県,7000,fujita31@sample.ne.jp
U032,山田由佳,兵庫県,12000,yamada32@mail.com
U033,中村健二,北海道,6000,nakamura33@example.com
U034,後藤健二,愛知県,12000,goto34@sample.ne.jp
U035,前田光雄,神奈川県,7000,maeda35@sample.ne.jp
U036,吉田美咲,広島県,8000,yoshida36@demo.co.jp
U037,斎藤浩,東京都,10000,saito37@test.jp
U038,渡辺由美,大阪府,10000,watanabe38@demo.co.jp
U039,中村義之,広島県,7000,nakamura39@example.com
U040,清水美咲,東京都,8500,shimizu40@test.jp
U041,林健太,北海道,3000,hayashi41@mail.com
U042,林拓海,東京都,4000,hayashi42@sample.ne.jp
U043,長谷川里奈,大阪府,8000,hasegawa43@demo.co.jp
U044,山本光雄,兵庫県,15000,yamamoto44@sample.ne.jp
U045,藤田恵,千葉県,20000,fujita45@sample.ne.jp
U046,小林拓也,愛知県,8500,kobayashi46@test.jp
U047,渡辺里奈,京都府,4000,watanabe47@sample.ne.jp
U048,伊藤太郎,長野県,6000,ito48@demo.co.jp
U049,後藤花子,大阪府,8500,goto49@test.jp
U050,小林亜希,神奈川県,3000,kobayashi50@sample.ne.jp
U051,山口修,愛知県,18000,yamaguchi51@test.jp
U052,山口花子,大阪府,8000,yamaguchi52@test.jp
U053,中村梅子,神奈川県,30000,nakamura53@mail.com
U054,中村賢一,東京都,6000,nakamura54@test.jp
U055,斎藤健太,東京都,3000,saito55@sample.ne.jp
U056,石川里奈,千葉県,5000,ishikawa56@mail.com
U057,橋本健二,大阪府,5000,hashimoto57@demo.co.jp
U058,木村麻衣,北海道,3000,kimura58@mail.com
U059,岡田麻衣,神奈川県,4000,okada59@mail.com
U060,松本智子,静岡県,5000,matsumoto60@example.com
U061,鈴木次郎,京都府,30000,suzuki61@sample.ne.jp
U062,山本光雄,神奈川県,12000,yamamoto62@sample.ne.jp
U063,鈴木健二,東京都,4000,suzuki63@example.com
U064,鈴木里奈,東京都,4000,suzuki64@sample.ne.jp
U065,加藤奈々,福岡県,8500,kato65@demo.co.jp
U066,鈴木健二,大阪府,7000,suzuki66@mail.com
U067,渡辺恵子,静岡県,18000,watanabe67@mail.com
U068,林修,福岡県,8500,hayashi68@sample.ne.jp
U069,井上賢一,神奈川県,18000,inoue69@demo.co.jp
U070,林拓也,埼玉県,6000,hayashi70@test.jp
